"Title","Movie Release Year","Running Time","Genre","Director","Country","Front Cover","Trailer URLs","Format","IMDb Rating","Location","Musician","Writer","Actor","Audience Rating","Audio Tracks","Extras","Features","Movie Release Date","Plot","Producer","Release Date","Release Year","Back Cover","Backdrop","Barcode","Box set","Chapters","Cinematography","Distributor","Edition","Episodes","Extra Features"
"The Mod Squad","1999","92 mins","Thriller; Action","Scott Silver","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheModSquad199919707_f.jpg","http://www.youtube.com/watch?v=KK3EiCC5A9I","DVD","3.9","","BC Smith","Scott Silver; Kate Lanier","Larry Brandenburg as Det. Tom Eckford; Josh Brolin as Billy Waites; Claire Danes as Julie Barnes; Omar Epps as Lincoln Hayes; Dennis Farina as Captain Adam Greer; Steve Harris as Det. Briggs; Richard Jenkins as Det. Bob Mothershed; Sam McMurray as Det. Tricky; Giovanni Ribisi as Peter Cochran; Lionel Mark Smith as Det. Earnie Lanier","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]","","","1999","Three minor delinquints (Danes, Ribisi, and Epps) are recruited by a cop (Farina) working undercover to bust a cop/drug ring. When the officer who recruited them is killed, they go above and beyond the call of duty to solve the murder; and bust the drug ring. Suffering the jibes, and ridicule of fellow officers; they struggle to save their names, and that of their deceased benefactor.","Ben Myron; Tony Ludwig","5/1/2001","2001","C:\Users\zerom_000\Documents\Movie Collector\Images\TheModSquad199919707_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheModSquad199919707_d.jpg","027616745026","","0","Ellen Kuras","MGM Home Entertainment","","0","A Behind-The-Scenes Booklet Theatrical Trailer"
"Money Talks","1997","91 mins","Comedy; Crime; Action","Brett Ratner","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MoneyTalks199726532_f.jpg","http://www.youtube.com/watch?v=QdKWwSkQG5g","DVD","5.8","","","Joel Cohen; Alec Sokolow","Frank Bruynbroek as Dubray; Gérard Ismaël as Raymond Villard; Heather Locklear as Grace Cipriani; Charlie Sheen as James Russell; Paul Sorvino as Guy Cipriani; Chris Tucker as Franklin Hatchett","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]","","","1997","Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.","Walter Coblenz; Tracy Kramer","1/13/1998","1998","C:\Users\zerom_000\Documents\Movie Collector\Images\MoneyTalks199726532_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MoneyTalks199726532_d.jpg","794043463426","","0","","New Line Home Video","DVD","0","Scene Access Movie Trailer Production Notes Closed Captioned Color Closed-captioned Widescreen Dolby"
"Money Train","1995","103 mins","Comedy; Drama; Adventure; Thriller; Crime; Action","Joseph Ruben","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MoneyTrain199515954_f.jpg","http://www.youtube.com/watch?v=yJm22pdI57c","DVD","5.3","","","Doug Richardson","Wesley Snipes as John; Woody Harrelson as Charlie; Jennifer Lopez as Grace Santiago; Robert Blake as Donald Patterson; Chris Cooper as Torch; Joe Grifasi as Riley; Scott Sowers as Mr. Brown; Skipp Sudduth as Kowalski","R (Restricted)","Dolby Digital 5.1; Dolby Digital 5.1 [English]; Dolby Digital Surround [English]; Dolby Digital Surround [French]; Dolby Digital Surround [Spanish]","","","1995","Money Train is a 1995 American action/thriller film starring Wesley Snipes, Woody Harrelson and Jennifer Lopez as New York City transit cops. After losing his job, Harrelson's character plots to hijack and then rob the 'money train' which hauls collected fare revenues for the New York City Subway from the system's stations.","Jon Peters; Neil Canton","5/22/2001","2001","C:\Users\zerom_000\Documents\Movie Collector\Images\MoneyTrain199515954_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MoneyTrain199515954_d.jpg","043396110793","","0","","Sony Pictures","Koop","0","Interactive Menus Theatrical Trailers Scene Selections"
"Monk: Season 1","2002","300 mins","Comedy; Crime; Mystery","Dean Parisot; Kevin Inch","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MonkSeason120028715_f.jpg","","DVD","8.1","","Jeff Beal","Ellis Peters","Tony Shaloub as Monk; Bitty Schram as Sharona; Ted Levine as Capt. Stottlemeyer; Jason Gray-Stanford as Lt. Randall Disher; Traylor Howard as Natalie Teeger","TV-PG","Dolby Digital Surround [English]; Dolby Digital Surround [French]","","","2002","An ex-cop suffering from obsessive-compulsive disorder solves crimes with various (and usually exasperated) sidekicks in tow in this first-rate mystery with a breakout Emmy-winning star in Tony Shalhoub. The 'defective detective' may have an abundance of phobias (heights, crowds, and even milk, among them), but he also has razor-sharp deductive skills, which he uses to help the San Francisco police with especially baffling cases.","","6/15/2004","2004","C:\Users\zerom_000\Documents\Movie Collector\Images\MonkSeason120028715_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MonkSeason120028715_d.jpg","5050582080407","","0","","Universal Studios","Set","13",""
"Monster-In-Law","2005","101 mins","Comedy; Romance","Robert Luketic","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MonsterInLaw200518971_f.jpg","http://www.youtube.com/watch?v=k-X7C6vZOvo","DVD","5.1","","Rosey","Anya Kochoff","Jane Fonda as Viola Fields; Jennifer Lopez as Charlie; Wanda Sykes as Ruby; Stephen Dunham as Dr. Chamberlain; Michael Vartan as Kevin; Monet Mazur as Fiona; Will Arnett as Kit; Annie Parisse as Morgan; Adam Scott as Remy; Elaine Stritch as Gertrude","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; Dolby Digital Stereo [English]","","","2005","Office temp Charlotte Cantilini thinks she's found Mr. Right when she starts dating gorgeous surgeon Dr. Kevin Fields. But there's a problem standing in the way of everlasting bliss: Kevin's overbearing and controlling mother, Viola. Fearing she'll lose her son's affections forever, Viola decides to break up the happy couple by becoming the world's worst mother-in-law.","Chris Bender; J.C. Spink","8/30/2005","2005","C:\Users\zerom_000\Documents\Movie Collector\Images\MonsterInLaw200518971_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MonsterInLaw200518971_d.jpg","794043831423","","0","","New Line Home Video","Special Edition","0","Hilarious Blooper Reel 7 Deleted scenes Ruby's Make-up Bag 5 Behind-the-Scenes Featurettes"
"The Monuments Men","2014","118 mins","Drama; Adventure; War; Action; History","George Clooney","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMonumentsMen201442184_f.jpg","http://www.youtube.com/watch?v=4uuItnYF4ZE; http://www.youtube.com/watch?v=Y8tz8YeCz1s","Blu-ray Disc","6.3","","Alexandre Desplat","George Clooney; Grant Heslov","Dimitri Leonidas as Sam Epstein; Justus von Dohnanyi as Viktor Stahl; Holger Handtke as Colonel Wegner","","","","","2014","In a race against time, a crew of art historians and museum curators unite to recover renown works of art stolen by Nazis before Hitler destroys them.","George Clooney; Grant Heslov","5/20/2014","2014","","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMonumentsMen201442184_d.jpg","043396424852","","0","Phedon Papamichael","","Blu-ray DVD UV","0",""
"Moonlight: Season 1","2007","664 mins","Drama; Science Fiction; Thriller","Chris Fisher; Scott Lautanen","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MoonlightSeason120075982_f.jpg","","DVD","7.8","","","","Alex O'Loughlin as Mick St. John; Sophia Myles as Beth Turner; Jason Dohring as Josef Kostan; Shannyn Sossamon as Coraline","NR (Not Rated)","Dolby Digital 5.1 [English]","","","2007","Moonlight follows Mick St. John, an immortal vampire and private investigator and his struggle to exist after he was bitten 60 years ago by his vampire bride on their wedding night. It also follows his internal torment as he falls in love with one he should not, one who is mortal named Beth, a news reporter, as well as his dealings with the woman who made him a vampire, his sire Coraline.","","1/20/2009","2009","C:\Users\zerom_000\Documents\Movie Collector\Images\MoonlightSeason120075982_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MoonlightSeason120075982_d.jpg","883929047598","","0","","Warner Home Video","","16",""
"Mortal Kombat: Annihilation","1997","91 mins","Adventure; Fantasy; Action","John R. Leonetti","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MortalKombatAnnihilation113856_f.jpg","http://www.youtube.com/watch?v=InrQBpj__Vc","DVD","3.2","","George S. Clinton","Ed Boon; John Tobias","Robin Shou as Liu Kang; James Remar as Lord Rayden; Talisa Soto as Princess Kitana; Sandra Hess as Sonya Blade; Brian Thompson as Shao Kahn; Lynn Williams as Jax Briggs; Reiner Schone as Shinnok; Deron McBee as Motaro; Musetta Vander as Queen Sindel; Marjean Holden as Sheeva; Irina Pantaeva as Jade; Chris Conrad as Johnny Cage; Litefoot as Nightwolf; J.J. Perry as Cyrax/Scorpion/Noob Saibot; John Medlen as Ermac","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]","","","1997","A band of fearless fighters have defeated the evil warlords from Outworld in the life-or-death tournament called Mortal Kombat, saving Earth from destruction for another generation.","Carla Fry; Lawrence Kasanoff","5/23/2000","2000","C:\Users\zerom_000\Documents\Movie Collector\Images\MortalKombatAnnihilation113856_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MortalKombatAnnihilation113856_d.jpg","794043465222","","0","Matthew F. Leonetti","New Line Home Video","Platinum Edition","0","Scene Access Movie Trailer Deleted Scenes Making Of... Production Notes Set design/3-D computer models"
"Most Wanted","1997","99 mins","Thriller; Action","David Hogan","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MostWanted199719315_f.jpg","http://www.youtube.com/watch?v=qS9hlUSUPoU","DVD","5.3","","Paul Buckmaster","Keenen Ivory Wayans","Keenen Ivory Wayans as Sergeant James Dunn; Robert Kotecki as Marine Lieutenant; Simon Baker as Stephen Barnes; Wolfgang Bodison as Captain Steve Braddock; Jon Voight as Gen. Adam Woodward; Eddie Velez as Sergeant Peyton; Michael Marich as Omega 3; Jill Hennessy as Dr. Victoria Constantini","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]; Dolby Digital Stereo [French]","","","1997","Sergeant James Dunn dient im Golfkrieg als Scharfschütze. Er verweigert die Ausführung des Befehls, einen unbewaffneten 10-jährigen Jungen zu erschießen. Bei dem im Zuge dieser Befehlsverweigerung eskalierenden Handgemenges tötet er seinen Vorgesetzten in Notwehr. Dennoch wird er zum Tode verurteilt. Der Gefangenentransport in die Todeszelle wird überfallen, Dunn wird befreit und von Lt. Col. Grant Casey für die Spezialeinheit Black Sheeps rekrutiert. James Dunn wird mit dem Anschlag auf den Industriellen Donald Bickhart, der biologische Waffen auf dem Schwarzmarkt veräußert, beauftragt.","Keenen Ivory Wayans; Tony Mark","5/23/2000","2000","C:\Users\zerom_000\Documents\Movie Collector\Images\MostWanted199719315_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MostWanted199719315_d.jpg","794043463525","","0","Marc Reshovsky","New Line Home Video","DVD","0","Color Widescreen Closed-captioned"
"Mr. & Mrs. Smith","2005","120 mins","Comedy; Adventure; Thriller; Romance; Action","Doug Liman","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MrMrsSmith200527266_f.jpg","http://www.youtube.com/watch?v=TWB_icm5M38","DVD","6.4","","John Powell","Simon Kinberg","Brad Pitt as John Smith; Angelina Jolie as Jane Smith; Keith David as Father; Vince Vaughn as Eddie; Adam Brody as Benjamin Diaz; Michelle Monaghan as Gwen; Kerry Washington as Jasmine; Chris Weitz as Martin Coleman; Rachael Huntley as Suzy Coleman","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; DTS 5.1 [English]; Dolby Digital Surround [French]; Dolby Digital Surround [Spanish]","","","2005","Marriage has gotten stale and predictable for John and Jane Smith, an average-on-the-surface husband and wife who don't yet know that they share the same undercover line of work: They're both guns for hire. Hiding their occupations has never been a hardship for either of them … until they discover that their next assignment involves them targeting each other. Can they go through with their respective missions, or will love prevail?","Arnon Milchan; Akiva Goldsman","11/29/2005","2005","C:\Users\zerom_000\Documents\Movie Collector\Images\MrMrsSmith200527266_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MrMrsSmith200527266_d.jpg","024543213710","","0","Bojan Bazelli","20th Century Fox Home Entertainment","Special Edition","0","'The Making of...' Documentary Deleted Scenes Director's Commentary Scene Selection Theatrical Trailers TV Spots"
"Mr. Brooks","2007","120 mins","Drama; Thriller; Crime","Bruce A. Evans","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MrBrooks200728843_f.jpg","http://www.youtube.com/watch?v=Q_4p43gSHxw","DVD","7.5","","Ramin Djawadi","Bruce A. Evans; Raynold Gideon","Kevin Costner as Mr. Earl Brooks; Demi Moore as Detective Tracy Atwood; Dane Cook as Mr. Smith; William Hurt as Marshall; Marg Helgenberger as Emma Brooks; Ruben Santiago-Hudson as Hawkins; Danielle Panabaker as Jane Brooks; Aisha Hinds as Nancy Hart; Lindsay Crouse as Captain Lister; Jason Lewis as Jesse Vialo","R (Restricted)","Dolby Digital 5.1 [English]; DTS 5.1 [English]; Dolby Digital 4.0 [Spanish]; Dolby Digital Surround [Spanish]","","","2007","A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.","Kevin Costner; Jim Wilson","10/23/2007","2007","C:\Users\zerom_000\Documents\Movie Collector\Images\MrBrooks200728843_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MrBrooks200728843_d.jpg","027616089991","","0","John Lindley","MGM Home Entertainment","","0","Auto Commentary by Director/Co-Writer Bruce A. Evans and Co-Writier Raynold GideonThe Birth of a Serial Killer: The Writing of Mr. Brooks FeaturetteOn the Set of Mr. Brooks FeaturetteMurder on Their Minds: Mr. Brooks, Marshall & Mr. Smith FeaturetteTheatrical TrailerDeleted Scenes"
"Mr. Nice Guy","1987","92 mins","Comedy; Action","Henry Wolfond","Canada","C:\Users\zerom_000\Documents\Movie Collector\Images\MrNiceGuy198726909_f.jpg","http://www.youtube.com/watch?v=Bee568UaRys","DVD","5.2","","","Henry Wolfond; Mark Breslin","Mike MacDonald as Kurt Murdoch; Jan Smithers as Lise; Joe Silver as Leser Tish; Harvey Atkin as Jerry Reeman; Howard Jerome as The Den; Keith Knight as Larry; Dan MacDonald as Clemens; Michael Donaghue as Catso","12","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [German]","","","1987","The work of an assassin is no longer something to be kept hush-hush. To be an assassin nowadays is to hold a respectable job. One such assassin, Kurt “Mr. Nice Guy” Murdoch (Mike MacDonald), starts his trek to the top as a security guard for Reemers Bargain Emporium. He works his way up through the levels of Lazar Fish’s killer-for-hire agency. Finally he reaches the lofty heights of national assassin celebrity. The road is a rocky one, however, as Murdoch falls in love with Dr. Lisa Rayon (Jan Smithers), and continuously tries to avoid run-ins with a mafia don, Mr. Romano. Along the way, he gets involved in a battle for a bigger share of the hit-man market, and must use some creative termination techniques to save his own hide.","Henry Wolfond; Constantino Magnatta","7/3/2000","2000","","C:\Users\zerom_000\Documents\Movie Collector\Images\MrNiceGuy198726909_d.jpg","743217310592","","0","","","","0","Movie Trailer"
"Mr. Woodcock","2007","87 mins","Comedy; Action","David Dobkin; Craig Gillespie","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MrWoodcock200725297_f.jpg","http://www.youtube.com/watch?v=fWlO8UrThoY&feature=related","DVD","5.1","","Theodore Shapiro","Michael Carnes; Josh Gilbert","Billy Bob Thornton as Jasper Woodcock; Seann William Scott as John Farley; Susan Sarandon as Beverly Farley; Amy Poehler as Maggie; Melissa Sagemiller as Tracy; Ethan Suplee as Nedderman; Jacob Davich as Nedderman's Brother; Kyley Baldridge as Young Farley; Alec George as Young Nedderman; Joseph Michael Sargent as Young Watson; M.C. Gainey as Hal - Barber #1; Brent Briscoe as Barber #2; Dave Kuhr as Bookish Guy; Lisa K. Wyatt as Housewife; Kurt Fuller as Councilman Luke","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]","","","2007","Letting Go Of Your Past Is Hard... Especially When It's Dating Your Mom.","David Dobkin; Toby Emmerich","1/15/2008","2008","C:\Users\zerom_000\Documents\Movie Collector\Images\MrWoodcock200725297_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MrWoodcock200725297_d.jpg","794043106620","","0","Tami Reiker","New Line Home Video","","0","Deleted Scenes Making Of Featurette P.E. Trauma Tales"
"Mud","2012","135 mins","Drama; Adventure; Action","Jeff Nichols","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\Mud201239927_f.jpg","http://www.youtube.com/watch?v=2m9IFlz2iYo; http://www.youtube.com/watch?v=Pv30J05U2nI","Blu-ray Disc","7.5","","David Wingo","Jeff Nichols","Johnny Cheek as Kyle; Kenneth Hill as Nelson; Matthew McConaughey as Mud; Tye Sheridan as Ellis; Sam Shepard as Tom Blankenship; Reese Witherspoon as Juniper; Michael Shannon as Galen; Joe Don Baker as King; Ray McKinnon as Senior; Sarah Paulson as Mary Lee; Paul Sparks as Carver; Jacob Lofland as Neckbone; Bonnie Sturdivant as May Pearl; Stuart Greer as Miller; John Ward Jr. as Galen's Helper","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [Spanish]; DTS [English]","","","2012","A drama centered on two teenage boys who encounter a fugitive and pact to help him escape from an island in the Mississippi.","Sarah Green; Aaron Ryder","8/6/2013","2013","C:\Users\zerom_000\Documents\Movie Collector\Images\Mud201239927_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\Mud201239927_d.jpg","031398172895","","0","Adam Stone","","Blu-ray Digital Copy Ultraviolet","0","Audio Commentary with Writer/Director Jeff Nichols 'A Very Personal Tale: Writing and Directing Mud' Featurette 'The Arkansas Ensemble: The Distinctive Characters and Cast of Mud' Featurette 'Southern Authenticity: Shooting the Real Arkansas' Featurette 'The Snake Pit: The Slithering Costars of Mud' Featurette"
"The Mummy Returns","2001","130 mins","Adventure; Fantasy; Action","Stephen Sommers","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMummyReturns200115756_f.jpg","http://www.youtube.com/watch?v=kMMOpswvSMM","Blu-ray Disc","6.2","","Alan Silvestri","Stephen Sommers","Brendan Fraser as Richard O'Connell; Rachel Weisz as Evelyn Carnahan O'Connell/Princess Nefertiri; John Hannah as Jonathan Carnahan; Arnold Vosloo as High Priest Imhotep; Oded Fehr as Ardeth Bay; Dwayne Johnson as Mathayus the Scorpion King; Freddie Boath as Alexander O'Connell; Patricia Velasquez as Meela Nais/Anck Su Namun; Alun Armstrong as Baltus Hafez; Adewale Akinnuoye-Agbaje as Lock-Nah; Shaun Parkes as Izzy Buttons; Bruce Byron as Red; Joe Dixon as Jacques; Tom Fisher as Spivey; Aharon Ipalé as Pharaoh Seti I","","","","","2001","Many years ago, in Ancient Egypt, the Scorpian Kind led a menacing army, but when he sold his soul to Anubis, he was erased from history. Now he is only a myth...or is he? Rick and Evelyn O'Connell is still discovering new artifacts, along with their 8 year old son Alex. They discover the Bracelet of Anubis. But someone else is after the bracelet. High Priest Imhotep has been brought back from the dead once again and wants the bracelet, to control the Scorpian King's army. That's not the only problem. Imhotep now has Alex and with the bracelet attached to him, doesn't have long to live.","Sean Daniel; James Jacks","12/18/2008","2008","","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMummyReturns200115756_d.jpg","5050582588552","","0","Adrian Biddle","","","0",""
"The Mummy: Tomb Of The Dragon Emperor","2008","112 mins","Adventure; Fantasy; Action","Rob Cohen","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMummyTombOfTheDragon1858_f.jpg","http://www.youtube.com/watch?v=ol-U0ibnVD4","Blu-ray Disc","5.1","","","Alfred Gough; Miles Millar","Brendan Fraser as Rick O'Connell; Jet Li as Emperor Han; Maria Bello as Evelyn O?Connell; John Hannah as Jonathan Carnahan; Michelle Yeoh as Zi Juan; Luke Ford as Alex O'Connell; Isabella Leong as Lin; Anthony Wong Chau-Sang as General Yang; Russell Wong as Ming Guo; Liam Cunningham as Mad Dog Maguire","PG-13 (Parents Strongly Cautioned)","DTS 5.1 [French]; DTS 5.1 [Spanish]; DTS-HD Master Audio 5.1 [English]","","","2008","The third installment in the Mummy franchise takes archaeologist Rick O'Connell to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his family -- including his wife and son -- to quash the so-called Dragon Emperor and his abuse of supernatural power.","Sean Daniel; Chris Brigham","12/16/2008","2008","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMummyTombOfTheDragon1858_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMummyTombOfTheDragon1858_d.jpg","025195052238","","0","","Universal Studios","Deluxe Edition","0","-PIP feature -Making of THE MUMMY: TOMB OF THE DRAGON EMPEROR -From City To Desert featurette -Legacy of the terra cotta featurette -Visual commentary by director Rob Cohen -Deleted and extended scenes -Preparing for Battle: Brenda Fraser vs. Jet Li featurette -Jet Li: Crafting The Emperor mummy featurette -Creating new and supernatural worlds featurette -U-control features"
"Murder At 1600","1997","108 mins","Drama; Adventure; Thriller; Suspense; Crime; Action","Dwight H. Little","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\MurderAt1600199728901_f.jpg","http://www.youtube.com/watch?v=CaJQ0RNGIEk","DVD","5.9","","Christopher Young","Wayne Beach; David Hodgin","Wesley Snipes as Detective Harlan Regis; Diane Lane as Nina Chance; Daniel Benzali as Nick Spikings; Dennis Miller as Detective Steve Stengel; Alan Alda as Alvin Jordan; Ronny Cox as President Jack Neil; Diane Baker as Kitty Neil; Tate Donovan as Kyle Neil; Rubén Blades as General Clark Tully; Tom Wright as Hal Cooper; Nicholas Pryor as Paul Moran; Charles Rocket as Jeffrey Arthur Groves; Nigel Bennett as Burton Cash; Douglas O'Keeffe as John Kerry","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital Surround [French]","","","1997","D.C. detective Harlan Regis is called to the White House after a young woman is murdered in the White House. Regis realizes this won't be a typical investigation as he keeps running into a brick wall with the Secret Service. He is only able to get the help of Agent Chance. All of this is occurring while a hostage scandal in Korea threatens to destroy the President's term.","Arnon Milchan; Arnold Kopelson","9/3/1997","1997","C:\Users\zerom_000\Documents\Movie Collector\Images\MurderAt1600199728901_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\MurderAt1600199728901_d.jpg","085391491521","","0","Steven Bernstein","Warner Home Video","","0","Interactive Menus Production Notes Scene Selection Theatrical Trailers"
"The Musketeer","2001","105 mins","Drama; Adventure; Romance; Action","Peter Hyams","Germany","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMusketeer200126878_f.jpg","http://www.youtube.com/watch?v=VvBmkpvDQp4","DVD","4.4","","David Arnold","Gene Quintano; Alexandre Dumas père","Catherine Deneuve as Anne, Queen of France; Mena Suvari as Francesca Bonacieux; Stephen Rea as Cardinal Richelieu; Tim Roth as Febre; Justin Chambers as D'Artagnan; Bill Treacher as Bonacieux; Daniel Mesguich as King Louis; David Schofield as Rochefort; Nick Moran as Aramis; Steven Spiers as Porthos; Jan Gregor Kremp as Athos; Jeremy Clyde as Lord Buckingham; Michael Byrne as Treville; Jean-Pierre Castaldi as Planchet; Tsilla Chelton as Madam Lacross","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]; DTS 5.1 [English]","","","2001","In Peter Hyams's adaptation of the famous Alexander Dumas story The Three Musketeers, the young D'Artagnan seeks to join the legendary musketeer brigade and avenge his father's death - but he finds that the musketeers have been disbanded.","Steven Paul; Gene Quintano","2/26/2002","2002","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMusketeer200126878_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMusketeer200126878_d.jpg","025192176524","","0","Peter Hyams","Universal Studios","","0","Casting Justin Chambers The Stunts Theatrical Trailer Production Notes Cast & Filmmaker Bios & Film Highlights DVD-ROM Features"
"The Mutant Chronicles","2008","111 mins","Adventure; Science Fiction; Action","Simon Hunter","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMutantChronicles20082043_f.jpg","http://www.youtube.com/watch?v=pS9jv8ejIgY","Blu-ray Disc","5.3","","Richard Wells","Philip Eisner","Christopher Adamson as Hodge; David Allcock as Capitol Soldier; Devon Aoki as Valerie Duval; Roger Ashton-Griffiths as Science Monk; Georgina Bryce as Dorothy; Jacqui Chan as Mishima; Tim Daniel Clark as Principle Mutant; Tim Clark as Lead Mutant; Dez Drummond as Padre; Christopher Dunne as Medic; Thomas Jane as Maj. Hunter; Ron Perlman as Brother Samuel; Sean Pertwee as Capt. Nathan Rooker; Benno Furmann as Lt. Maximillian von Steiner; John Malkovich as Constantine","R (Restricted)","","","","2008","It's the year 2707. Earth's natural resources have all but been exhausted by mankind. Battles rage for the remainder between the competing Corporations. During one such battle the seal is broken and awakens an ancient and deadly machine that was once defeated thousands of years ago. The order that awaited it's return must now lead a small group of soldiers to destroy it once and for all.","Stephen Belafonte; Stephane Bibeau","8/4/2009","2009","","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMutantChronicles20082043_d.jpg","876964001977","","0","","","","0",""
"The Mutant Chronicles","2008","111 mins","Adventure; Science Fiction; Action","Simon Hunter","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMutantChronicles200814309_f.jpg","http://www.youtube.com/watch?v=pS9jv8ejIgY","DVD","5.3","","Richard Wells","Philip Eisner","Christopher Adamson as Hodge; David Allcock as Capitol Soldier; Devon Aoki as Valerie Duval; Roger Ashton-Griffiths as Science Monk; Georgina Bryce as Dorothy; Jacqui Chan as Mishima; Tim Daniel Clark as Principle Mutant; Tim Clark as Lead Mutant; Dez Drummond as Padre; Christopher Dunne as Medic; Thomas Jane as Maj. Hunter; Ron Perlman as Brother Samuel; Sean Pertwee as Capt. Nathan Rooker; Benno Furmann as Lt. Maximillian von Steiner; John Malkovich as Constantine","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital Stereo [English]","","","2008","It's the year 2707. Earth's natural resources have all but been exhausted by mankind. Battles rage for the remainder between the competing Corporations. During one such battle the seal is broken and awakens an ancient and deadly machine that was once defeated thousands of years ago. The order that awaited it's return must now lead a small group of soldiers to destroy it once and for all.","Stephen Belafonte; Stephane Bibeau","8/4/2009","2009","","C:\Users\zerom_000\Documents\Movie Collector\Images\TheMutantChronicles200814309_d.jpg","876964001960","","0","","","Director's Cut","0","Commentary By Director Simon Hunter And Ron Perlman"
"National Lampoon Presents: Dorm Daze","2003","96 mins","Comedy","Scott Hillenbrand; David Hillenbrand","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\NationalLampoonPresentsDor25549_f.jpg","http://www.youtube.com/watch?v=_0bMvOIuQyw","DVD","4.4","","","Worm Miller; Patrick Casey","Tatyana Ali as Claire; Boti Bliss as Dominique the Hooker; James DeBello as Cliff; Marieh Delfino as Gerri; Tony Denman as Newmar; Danielle Fishel as Marla; Gable Carr as Rachel; Patrick Cavanaugh as Pete; Gregory Hinton as Ted","R (Restricted)","Dolby Digital 5.1 [English]","","","2003","Chaos and misunderstandings ensue in a coed dorm","Scott Hillenbrand; David Hillenbrand","8/10/2004","2004","","C:\Users\zerom_000\Documents\Movie Collector\Images\NationalLampoonPresentsDor25549_d.jpg","027616908933","","0","","MGM Home Entertainment","R-Rated Edition","0","Gag Reel Deleted Scenes With Optional Commentary 'National Lampoon's Master Debaters' Original Theatrical Trailer"
